# bicep3, run09 optical efficiency results, 20170201
BODY 
GCP,     MCE,     TILE,    MODULE, DET_COL, DET_ROW, MCE_COL, MCE_ROW, POL,    TYPE,   RGL,     RNTI,             PSAT_LN2,          PSAT_AMBIENT,      DPDT                 
,        ,        ,        ,       ,        ,        ,        ,        ,       ,       ,        mOhm,             pW @074K,          pW @242K,          pW/K                 
integer, integer, integer, string, integer, integer, integer, integer, string, string, integer, float,            float,             float,             float                
0,       0,       8,       P25,    NaN,     NaN,     0,       0,       ,       O,      1,       NaN,              NaN,               NaN,               NaN                  
1,       0,       8,       P25,    6,       4,       0,       1,       A,      L,      1,       89.2195723563167, 165.994595508159,  147.311708528601,  0.106152766929307    
2,       0,       8,       P25,    6,       4,       0,       2,       B,      L,      1,       88.2823606234914, 178.768296035953,  160.578586716332,  0.103350621134209    
3,       0,       8,       P25,    6,       6,       0,       3,       A,      L,      1,       97.1911098935186, 173.722626789135,  155.259116359405,  0.10490630925983     
4,       0,       8,       P25,    6,       6,       0,       4,       B,      L,      1,       97.5774846086817, 173.126353127349,  157.169501221455,  0.0906639312834932   
5,       0,       8,       P25,    6,       8,       0,       5,       A,      L,      1,       118.231364676367, 185.480122855123,  166.188597515392,  0.109610939430293    
6,       0,       8,       P25,    6,       8,       0,       6,       B,      L,      1,       119.306626248016, 190.863101795485,  171.386997906853,  0.110659681185408    
7,       0,       8,       P25,    7,       2,       0,       7,       A,      L,      1,       88.9342306855544, 192.129838309266,  174.421308192516,  0.100616648390629    
8,       0,       8,       P25,    7,       2,       0,       8,       B,      L,      1,       87.8923071133539, NaN,               202.844022518225,  NaN                  
9,       0,       8,       P25,    7,       4,       0,       9,       A,      L,      1,       90.0410826278208, 181.349842886699,  162.420171935936,  0.107554948583878    
10,      0,       8,       P25,    7,       4,       0,       10,      B,      L,      1,       91.6405062017853, 187.723476220504,  168.27021880339,   0.110529871688145    
11,      0,       8,       P25,    7,       6,       0,       11,      A,      L,      1,       99.2411772749199, 177.424364350403,  158.665591823572,  0.106583934811539    
12,      0,       8,       P25,    7,       6,       0,       12,      B,      L,      1,       100.87323632546,  176.441733238224,  157.086315001897,  0.109973967251855    
13,      0,       8,       P25,    7,       8,       0,       13,      A,      L,      1,       123.169479950225, 177.921865410999,  159.609437896444,  0.10404788360543     
14,      0,       8,       P25,    7,       8,       0,       14,      B,      L,      1,       131.402239351153, 176.459249028457,  156.339476558517,  0.114316889033752    
15,      0,       8,       P25,    8,       2,       0,       15,      A,      L,      1,       90.7251063349034, 210.726013221246,  191.713409379982,  0.108026158189001    
16,      0,       8,       P25,    8,       2,       0,       16,      B,      L,      1,       86.6122234251787, 203.297439595548,  181.805097272583,  0.122115581380486    
17,      0,       8,       P25,    8,       4,       0,       17,      A,      L,      1,       NaN,              NaN,               NaN,               NaN                  
18,      0,       8,       P25,    8,       4,       0,       18,      B,      L,      1,       NaN,              NaN,               NaN,               NaN                  
19,      0,       8,       P25,    8,       6,       0,       19,      A,      L,      1,       104.562056697044, 195.649432932209,  176.425648756555,  0.109226046452576    
20,      0,       8,       P25,    8,       6,       0,       20,      B,      L,      1,       112.416238579079, 172.484547198217,  152.750486709109,  0.112125343688113    
21,      0,       8,       P25,    8,       8,       0,       21,      A,      D,      1,       142.476546717138, 199.602891524444,  201.999135191163,  NaN                  
22,      0,       8,       P25,    NaN,     NaN,     1,       0,       ,       O,      1,       NaN,              NaN,               NaN,               NaN                  
23,      0,       8,       P25,    3,       8,       1,       1,       A,      L,      1,       130.373799786247, 176.834267165129,  158.495718549154,  0.104196298954401    
24,      0,       8,       P25,    3,       8,       1,       2,       B,      L,      1,       120.117598115273, 193.722950292843,  174.35435545437,   0.110048834309508    
25,      0,       8,       P25,    4,       2,       1,       3,       A,      L,      1,       92.5940006245574, 193.939497631307,  175.504854894894,  0.104742288275073    
26,      0,       8,       P25,    4,       2,       1,       4,       B,      L,      1,       92.8539640079062, 193.339433084928,  174.740093437211,  0.105678066180211    
27,      0,       8,       P25,    4,       4,       1,       5,       A,      L,      1,       92.4199971283045, 158.443539901394,  139.648649799143,  0.106789148308248    
28,      0,       8,       P25,    4,       4,       1,       6,       B,      L,      1,       91.7241987498576, 173.313904715064,  153.438793140567,  0.112926770309646    
29,      0,       8,       P25,    4,       6,       1,       7,       A,      L,      1,       99.8565432376384, 193.834642105523,  174.969723370705,  0.107187038266015    
30,      0,       8,       P25,    4,       6,       1,       8,       B,      L,      1,       93.6085897556983, 194.435607694285,  174.484168883125,  0.11336044779068     
31,      0,       8,       P25,    4,       8,       1,       9,       A,      L,      1,       116.196092603563, 204.142701745073,  184.282017485132,  0.112844796931481    
