*******************************************************************************
 Revised: July 31, 2013             Moon / (Earth)                          301
 
 GEOPHYSICAL DATA (updated 2018-Aug-15):
  Vol. mean radius, km  = 1737.53+-0.03    Mass, x10^22 kg       =    7.349
  Radius (gravity), km  = 1738.0           Surface emissivity    =    0.92
  Radius (IAU), km      = 1737.4           GM, km^3/s^2          = 4902.800066
  Density, g/cm^3       =    3.3437        GM 1-sigma, km^3/s^2  =  +-0.0001  
  V(1,0)                =   +0.21          Surface accel., m/s^2 =    1.62
  Earth/Moon mass ratio = 81.3005690769    Farside crust. thick. = ~80 - 90 km
  Mean crustal density  = 2.97+-.07 g/cm^3 Nearside crust. thick.= 58+-8 km 
  Heat flow, Apollo 15  = 3.1+-.6 mW/m^2   Mean angular diameter = 31'05.2"
  Heat flow, Apollo 17  = 2.2+-.5 mW/m^2   Sid. rot. rate, rad/s = 0.0000026617
  Geometric Albedo      = 0.12             Mean solar day        = 29.5306 d
  Obliquity to orbit    = 6.67 deg         Orbit period          = 27.321582 d
  Semi-major axis, a    = 384400 km        Eccentricity          = 0.05490
  Mean motion, rad/s    = 2.6616995x10^-6  Inclination           = 5.145 deg
  Apsidal period        = 3231.50 d        Nodal period          = 6798.38 d
                                 Perihelion  Aphelion    Mean
  Solar Constant (W/m^2)         1414+-7     1323+-7     1368+-7
  Maximum Planetary IR (W/m^2)   1314        1226        1268
  Minimum Planetary IR (W/m^2)      5.2         5.2         5.2
********************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Thu Apr 21 13:49:58 2022 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Moon (301)                      {source: DE441}
Center body name: Earth (399)                     {source: DE441}
Center-site name: (user defined site below)
*******************************************************************************
Start time      : A.D. 2021-Dec-01 00:46:41.0000 UT      
Stop  time      : A.D. 2021-Dec-01 00:49:25.0000 UT      
Step-size       : 300 steps
*******************************************************************************
Target pole/equ : MOON_ME                         {East-longitude positive}
Target radii    : 1737.4 x 1737.4 x 1737.4 km     {Equator, meridian, pole}    
Center geodetic : 315.350000,-89.990000,2.8430000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 315.350000,1.11743599,-6359.595 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : ITRF93                          {East-longitude positive}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Target primary  : Earth
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE441}
Rel. light bend : Sun, EARTH                      {source: DE441}
Rel. lght bnd GM: 1.3271E+11, 3.9860E+05 km^3/s^2                              
Atmos refraction: YES (Earth refraction model)
RA format       : DEG
Time format     : JD  
RTS-only print  : NO       
EOP file        : eop.220419.p220713                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2022-APR-19. PREDICTS-> 2022-JUL-12
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
Table format    : Comma Separated Values (spreadsheet)
*****************************************************************************************************
Date_________JDUT, , , R.A._(ICRF), DEC_(ICRF), R.A._(r-app), DEC_(r-app), Azi_(r-app), Elev_(r-app),
*****************************************************************************************************
$$SOE
2459549.532418982,*,m,   202.48817,   -4.87726,    202.76492,    -5.14930,  165.793913,     5.139610,
2459549.532425309,*,m,   202.48825,   -4.87730,    202.76500,    -5.14934,  165.791712,     5.139648,
2459549.532431636,*,m,   202.48833,   -4.87734,    202.76508,    -5.14938,  165.789510,     5.139687,
2459549.532437963,*,m,   202.48841,   -4.87738,    202.76516,    -5.14942,  165.787309,     5.139725,
2459549.532444290,*,m,   202.48850,   -4.87742,    202.76525,    -5.14946,  165.785107,     5.139764,
2459549.532450617,*,m,   202.48858,   -4.87746,    202.76533,    -5.14950,  165.782906,     5.139803,
2459549.532456944,*,m,   202.48866,   -4.87750,    202.76541,    -5.14953,  165.780705,     5.139841,
2459549.532463272,*,m,   202.48874,   -4.87754,    202.76549,    -5.14957,  165.778503,     5.139880,
2459549.532469599,*,m,   202.48883,   -4.87758,    202.76558,    -5.14961,  165.776302,     5.139918,
2459549.532475926,*,m,   202.48891,   -4.87762,    202.76566,    -5.14965,  165.774100,     5.139957,
2459549.532482253,*,m,   202.48899,   -4.87766,    202.76574,    -5.14969,  165.771899,     5.139996,
2459549.532488580,*,m,   202.48907,   -4.87770,    202.76583,    -5.14973,  165.769697,     5.140034,
2459549.532494907,*,m,   202.48916,   -4.87773,    202.76591,    -5.14977,  165.767496,     5.140073,
2459549.532501235,*,m,   202.48924,   -4.87777,    202.76599,    -5.14980,  165.765294,     5.140111,
2459549.532507562,*,m,   202.48932,   -4.87781,    202.76607,    -5.14984,  165.763093,     5.140150,
2459549.532513889,*,m,   202.48940,   -4.87785,    202.76616,    -5.14988,  165.760892,     5.140189,
2459549.532520216,*,m,   202.48949,   -4.87789,    202.76624,    -5.14992,  165.758690,     5.140227,
2459549.532526543,*,m,   202.48957,   -4.87793,    202.76632,    -5.14996,  165.756489,     5.140266,
2459549.532532870,*,m,   202.48965,   -4.87797,    202.76640,    -5.15000,  165.754287,     5.140304,
2459549.532539198,*,m,   202.48973,   -4.87801,    202.76649,    -5.15004,  165.752086,     5.140343,
2459549.532545525,*,m,   202.48982,   -4.87805,    202.76657,    -5.15007,  165.749884,     5.140382,
2459549.532551852,*,m,   202.48990,   -4.87809,    202.76665,    -5.15011,  165.747683,     5.140420,
2459549.532558179,*,m,   202.48998,   -4.87813,    202.76673,    -5.15015,  165.745482,     5.140459,
2459549.532564506,*,m,   202.49006,   -4.87817,    202.76682,    -5.15019,  165.743280,     5.140497,
2459549.532570833,*,m,   202.49015,   -4.87821,    202.76690,    -5.15023,  165.741079,     5.140536,
2459549.532577160,*,m,   202.49023,   -4.87825,    202.76698,    -5.15027,  165.738877,     5.140575,
2459549.532583488,*,m,   202.49031,   -4.87829,    202.76706,    -5.15030,  165.736676,     5.140613,
2459549.532589815,*,m,   202.49039,   -4.87833,    202.76715,    -5.15034,  165.734474,     5.140652,
2459549.532596142,*,m,   202.49048,   -4.87837,    202.76723,    -5.15038,  165.732273,     5.140690,
2459549.532602469,*,m,   202.49056,   -4.87841,    202.76731,    -5.15042,  165.730071,     5.140729,
2459549.532608796,*,m,   202.49064,   -4.87845,    202.76739,    -5.15046,  165.727870,     5.140768,
2459549.532615123,*,m,   202.49072,   -4.87849,    202.76748,    -5.15050,  165.725669,     5.140806,
