*******************************************************************************
 Revised: July 31, 2013             Moon / (Earth)                          301
 
 GEOPHYSICAL DATA (updated 2018-Aug-15):
  Vol. mean radius, km  = 1737.53+-0.03    Mass, x10^22 kg       =    7.349
  Radius (gravity), km  = 1738.0           Surface emissivity    =    0.92
  Radius (IAU), km      = 1737.4           GM, km^3/s^2          = 4902.800066
  Density, g/cm^3       =    3.3437        GM 1-sigma, km^3/s^2  =  +-0.0001  
  V(1,0)                =   +0.21          Surface accel., m/s^2 =    1.62
  Earth/Moon mass ratio = 81.3005690769    Farside crust. thick. = ~80 - 90 km
  Mean crustal density  = 2.97+-.07 g/cm^3 Nearside crust. thick.= 58+-8 km 
  Heat flow, Apollo 15  = 3.1+-.6 mW/m^2   Mean angular diameter = 31'05.2"
  Heat flow, Apollo 17  = 2.2+-.5 mW/m^2   Sid. rot. rate, rad/s = 0.0000026617
  Geometric Albedo      = 0.12             Mean solar day        = 29.5306 d
  Obliquity to orbit    = 6.67 deg         Orbit period          = 27.321582 d
  Semi-major axis, a    = 384400 km        Eccentricity          = 0.05490
  Mean motion, rad/s    = 2.6616995x10^-6  Inclination           = 5.145 deg
  Apsidal period        = 3231.50 d        Nodal period          = 6798.38 d
                                 Perihelion  Aphelion    Mean
  Solar Constant (W/m^2)         1414+-7     1323+-7     1368+-7
  Maximum Planetary IR (W/m^2)   1314        1226        1268
  Minimum Planetary IR (W/m^2)      5.2         5.2         5.2
********************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Thu Apr 28 15:50:53 2022 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Moon (301)                      {source: DE441}
Center body name: Earth (399)                     {source: DE441}
Center-site name: GEOCENTRIC
*******************************************************************************
Start time      : A.D. 2021-Dec-01 00:46:41.0000 UT      
Stop  time      : A.D. 2021-Dec-01 00:49:25.0000 UT      
Step-size       : 300 steps
*******************************************************************************
Target pole/equ : MOON_ME                         {East-longitude positive}
Target radii    : 1737.4 x 1737.4 x 1737.4 km     {Equator, meridian, pole}    
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : ITRF93                          {East-longitude positive}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Target primary  : Earth
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE441}
Rel. light bend : Sun, EARTH                      {source: DE441}
Rel. lght bnd GM: 1.3271E+11, 3.9860E+05 km^3/s^2                              
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : JD  
EOP file        : eop.220427.p220721                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2022-APR-27. PREDICTS-> 2022-JUL-20
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
Table format    : Comma Separated Values (spreadsheet)
*****************************************************************************************************
Date_________JDUT, , , R.A._(ICRF), DEC_(ICRF), R.A._(a-app), DEC_(a-app), Azi_(a-app), Elev_(a-app),
*****************************************************************************************************
$$SOE
2459549.532418982, , ,   202.48734,   -5.86587,    202.76488,    -5.97603,        n.a.,         n.a.,
2459549.532425309, , ,   202.48743,   -5.86591,    202.76496,    -5.97607,        n.a.,         n.a.,
2459549.532431636, , ,   202.48751,   -5.86595,    202.76505,    -5.97611,        n.a.,         n.a.,
2459549.532437963, , ,   202.48759,   -5.86599,    202.76513,    -5.97615,        n.a.,         n.a.,
2459549.532444290, , ,   202.48767,   -5.86603,    202.76521,    -5.97619,        n.a.,         n.a.,
2459549.532450617, , ,   202.48776,   -5.86607,    202.76529,    -5.97623,        n.a.,         n.a.,
2459549.532456944, , ,   202.48784,   -5.86611,    202.76538,    -5.97627,        n.a.,         n.a.,
2459549.532463272, , ,   202.48792,   -5.86615,    202.76546,    -5.97631,        n.a.,         n.a.,
2459549.532469599, , ,   202.48800,   -5.86619,    202.76554,    -5.97635,        n.a.,         n.a.,
2459549.532475926, , ,   202.48809,   -5.86623,    202.76562,    -5.97639,        n.a.,         n.a.,
2459549.532482253, , ,   202.48817,   -5.86626,    202.76571,    -5.97643,        n.a.,         n.a.,
2459549.532488580, , ,   202.48825,   -5.86630,    202.76579,    -5.97647,        n.a.,         n.a.,
2459549.532494907, , ,   202.48833,   -5.86634,    202.76587,    -5.97651,        n.a.,         n.a.,
2459549.532501235, , ,   202.48842,   -5.86638,    202.76595,    -5.97655,        n.a.,         n.a.,
2459549.532507562, , ,   202.48850,   -5.86642,    202.76604,    -5.97659,        n.a.,         n.a.,
2459549.532513889, , ,   202.48858,   -5.86646,    202.76612,    -5.97663,        n.a.,         n.a.,
2459549.532520216, , ,   202.48866,   -5.86650,    202.76620,    -5.97666,        n.a.,         n.a.,
2459549.532526543, , ,   202.48875,   -5.86654,    202.76628,    -5.97670,        n.a.,         n.a.,
2459549.532532870, , ,   202.48883,   -5.86658,    202.76637,    -5.97674,        n.a.,         n.a.,
2459549.532539198, , ,   202.48891,   -5.86662,    202.76645,    -5.97678,        n.a.,         n.a.,
2459549.532545525, , ,   202.48899,   -5.86666,    202.76653,    -5.97682,        n.a.,         n.a.,
2459549.532551852, , ,   202.48908,   -5.86670,    202.76661,    -5.97686,        n.a.,         n.a.,
2459549.532558179, , ,   202.48916,   -5.86674,    202.76670,    -5.97690,        n.a.,         n.a.,
2459549.532564506, , ,   202.48924,   -5.86678,    202.76678,    -5.97694,        n.a.,         n.a.,
2459549.532570833, , ,   202.48932,   -5.86682,    202.76686,    -5.97698,        n.a.,         n.a.,
2459549.532577160, , ,   202.48941,   -5.86686,    202.76694,    -5.97702,        n.a.,         n.a.,
2459549.532583488, , ,   202.48949,   -5.86690,    202.76703,    -5.97706,        n.a.,         n.a.,
2459549.532589815, , ,   202.48957,   -5.86694,    202.76711,    -5.97710,        n.a.,         n.a.,
2459549.532596142, , ,   202.48965,   -5.86698,    202.76719,    -5.97714,        n.a.,         n.a.,
2459549.532602469, , ,   202.48973,   -5.86702,    202.76727,    -5.97718,        n.a.,         n.a.,
2459549.532608796, , ,   202.48982,   -5.86706,    202.76736,    -5.97722,        n.a.,         n.a.,
2459549.532615123, , ,   202.48990,   -5.86710,    202.76744,    -5.97726,        n.a.,         n.a.,
2459549.532621451, , ,   202.48998,   -5.86714,    202.76752,    -5.97730,        n.a.,         n.a.,
