*******************************************************************************
 Revised: July 31, 2013             Moon / (Earth)                          301
 
 GEOPHYSICAL DATA (updated 2018-Aug-15):
  Vol. mean radius, km  = 1737.53+-0.03    Mass, x10^22 kg       =    7.349
  Radius (gravity), km  = 1738.0           Surface emissivity    =    0.92
  Radius (IAU), km      = 1737.4           GM, km^3/s^2          = 4902.800066
  Density, g/cm^3       =    3.3437        GM 1-sigma, km^3/s^2  =  +-0.0001  
  V(1,0)                =   +0.21          Surface accel., m/s^2 =    1.62
  Earth/Moon mass ratio = 81.3005690769    Farside crust. thick. = ~80 - 90 km
  Mean crustal density  = 2.97+-.07 g/cm^3 Nearside crust. thick.= 58+-8 km 
  Heat flow, Apollo 15  = 3.1+-.6 mW/m^2   Mean angular diameter = 31'05.2"
  Heat flow, Apollo 17  = 2.2+-.5 mW/m^2   Sid. rot. rate, rad/s = 0.0000026617
  Geometric Albedo      = 0.12             Mean solar day        = 29.5306 d
  Obliquity to orbit    = 6.67 deg         Orbit period          = 27.321582 d
  Semi-major axis, a    = 384400 km        Eccentricity          = 0.05490
  Mean motion, rad/s    = 2.6616995x10^-6  Inclination           = 5.145 deg
  Apsidal period        = 3231.50 d        Nodal period          = 6798.38 d
                                 Perihelion  Aphelion    Mean
  Solar Constant (W/m^2)         1414+-7     1323+-7     1368+-7
  Maximum Planetary IR (W/m^2)   1314        1226        1268
  Minimum Planetary IR (W/m^2)      5.2         5.2         5.2
********************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Fri Aug 12 14:11:16 2022 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Moon (301)                      {source: DE441}
Center body name: Earth (399)                     {source: DE441}
Center-site name: MAPO (South Pole)
*******************************************************************************
Start time      : A.D. 2021-Nov-30 00:00:00.0000 UT      
Stop  time      : A.D. 2022-Jan-27 00:00:00.0000 UT      
Step-size       : 1 minutes
*******************************************************************************
Target pole/equ : MOON_ME                         {East-longitude positive}
Target radii    : 1737.4 x 1737.4 x 1737.4 km     {Equator, meridian, pole}    
Center geodetic : 314.210200,-89.993172,2.9972898 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 314.210200,0.76294914,-6359.750 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : ITRF93                          {East-longitude positive}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Target primary  : Earth
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE441}
Rel. light bend : Sun, EARTH                      {source: DE441}
Rel. lght bnd GM: 1.3271E+11, 3.9860E+05 km^3/s^2                              
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : JD  
RTS-only print  : NO       
EOP file        : eop.220810.p221103                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2022-AUG-10. PREDICTS-> 2022-NOV-02
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
Table format    : Comma Separated Values (spreadsheet)
*******************************************************************************
Date_________JDUT, , ,Azi_(a-app), Elev_(a-app),
************************************************
$$SOE
2459548.500000000,*,m, 166.536977,    -1.444502,
2459548.500694444,*,m, 166.294951,    -1.440224,
2459548.501388889,*,m, 166.052924,    -1.435945,
2459548.502083333,*,m, 165.810898,    -1.431666,
2459548.502777778,*,m, 165.568872,    -1.427387,
2459548.503472222,*,m, 165.326846,    -1.423108,
2459548.504166667,*,m, 165.084820,    -1.418828,
2459548.504861111,*,m, 164.842794,    -1.414548,
2459548.505555556,*,m, 164.600769,    -1.410268,
2459548.506250000,*,m, 164.358744,    -1.405988,
2459548.506944444,*,m, 164.116719,    -1.401708,
2459548.507638889,*,m, 163.874694,    -1.397427,
2459548.508333333,*,m, 163.632670,    -1.393146,
2459548.509027778,*,m, 163.390646,    -1.388865,
2459548.509722222,*,m, 163.148622,    -1.384583,
2459548.510416667,*,m, 162.906598,    -1.380301,
2459548.511111111,*,m, 162.664574,    -1.376020,
2459548.511805556,*,m, 162.422551,    -1.371737,
2459548.512500000,*,m, 162.180527,    -1.367455,
2459548.513194445,*,m, 161.938504,    -1.363172,
2459548.513888889,*,m, 161.696481,    -1.358890,
2459548.514583333,*,m, 161.454459,    -1.354606,
2459548.515277778,*,m, 161.212436,    -1.350323,
2459548.515972222,*,m, 160.970414,    -1.346040,
2459548.516666667,*,m, 160.728392,    -1.341756,
2459548.517361111,*,m, 160.486370,    -1.337472,
2459548.518055555,*,m, 160.244349,    -1.333187,
2459548.518750000,*,m, 160.002327,    -1.328903,
2459548.519444444,*,m, 159.760306,    -1.324618,
2459548.520138889,*,m, 159.518285,    -1.320333,
2459548.520833333,*,m, 159.276264,    -1.316048,
2459548.521527778,*,m, 159.034244,    -1.311763,
2459548.522222222,*,m, 158.792223,    -1.307477,
2459548.522916667,*,m, 158.550203,    -1.303191,
2459548.523611111,*,m, 158.308183,    -1.298905,
2459548.524305556,*,m, 158.066163,    -1.294619,
2459548.525000000,*,m, 157.824144,    -1.290332,
2459548.525694444,*,m, 157.582124,    -1.286046,
2459548.526388889,*,m, 157.340105,    -1.281759,
2459548.527083333,*,m, 157.098086,    -1.277471,
2459548.527777778,*,m, 156.856067,    -1.273184,
2459548.528472222,*,m, 156.614049,    -1.268896,
2459548.529166667,*,m, 156.372031,    -1.264608,
2459548.529861111,*,m, 156.130012,    -1.260320,
2459548.530555556,*,m, 155.887994,    -1.256032,
2459548.531250000,*,m, 155.645977,    -1.251743,
2459548.531944444,*,m, 155.403959,    -1.247454,
2459548.532638889,*,m, 155.161942,    -1.243165,
2459548.533333333,*,m, 154.919925,    -1.238876,
2459548.534027778,*,m, 154.677908,    -1.234587,
2459548.534722222,*,m, 154.435891,    -1.230297,
2459548.535416667,*,m, 154.193875,    -1.226007,
2459548.536111111,*,m, 153.951858,    -1.221717,
2459548.536805556,*,m, 153.709842,    -1.217426,
2459548.537500000,*,m, 153.467827,    -1.213136,
2459548.538194444,*,m, 153.225811,    -1.208845,
2459548.538888889,*,m, 152.983795,    -1.204554,
2459548.539583333,*,m, 152.741780,    -1.200263,
2459548.540277778,*,m, 152.499765,    -1.195971,
2459548.540972222,*,m, 152.257750,    -1.191679,
2459548.541666667,*,m, 152.015736,    -1.187388,
2459548.542361111,*,m, 151.773721,    -1.183095,
2459548.543055556,*,m, 151.531707,    -1.178803,
