*******************************************************************************
 Revised: July 31, 2013                  Sun                                 10

 PHYSICAL PROPERTIES (updated 2018-Aug-15):
  GM, km^3/s^2          = 132712440041.93938  Mass, 10^24 kg        = ~1988500
  Vol. mean radius, km  = 695700              Volume, 10^12 km^3    = 1412000
  Solar radius (IAU)    = 696000 km           Mean density, g/cm^3  = 1.408
  Radius (photosphere)  = 696500 km           Angular diam at 1 AU  = 1919.3"
  Photosphere temp., K  = 6600 (bottom)       Photosphere temp., K  = 4400(top)
  Photospheric depth    = ~500 km             Chromospheric depth   = ~2500 km
  Flatness, f           = 0.00005             Adopted sid. rot. per.= 25.38 d
  Surface gravity       =  274.0 m/s^2        Escape speed, km/s    =  617.7
  Pole (RA,DEC), deg.   = (286.13, 63.87)     Obliquity to ecliptic = 7.25 deg.
  Solar constant (1 AU) = 1367.6 W/m^2        Luminosity, 10^24 J/s = 382.8
  Mass-energy conv rate = 4.260 x 10^9 kg/s   Effective temp, K     = 5772
  Sunspot cycle         = 11.4 yr             Cycle 24 sunspot min. = 2008 A.D.

  Motion relative to nearby stars = apex : R.A.= 271 deg.; DEC.= +30 deg.
                                    speed: 19.4 km/s (0.0112 au/day)
  Motion relative to 2.73K BB/CBR = apex : l= 264.7 +- 0.8; b= 48.2 +- 0.5 deg.
                                    speed: 369 +-11 km/s
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Fri Aug 12 14:10:48 2022 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Sun (10)                        {source: DE441}
Center body name: Earth (399)                     {source: DE441}
Center-site name: MAPO (South Pole)
*******************************************************************************
Start time      : A.D. 2021-Nov-30 00:00:00.0000 UT      
Stop  time      : A.D. 2022-Jan-27 00:00:00.0000 UT      
Step-size       : 1 minutes
*******************************************************************************
Target pole/equ : IAU_SUN                         {East-longitude positive}
Target radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}    
Center geodetic : 314.210200,-89.993172,2.9972898 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 314.210200,0.76294914,-6359.750 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : ITRF93                          {East-longitude positive}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Target primary  : Sun
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE441}
Rel. light bend : Sun, EARTH                      {source: DE441}
Rel. lght bnd GM: 1.3271E+11, 3.9860E+05 km^3/s^2                              
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : JD  
RTS-only print  : NO       
EOP file        : eop.220810.p221103                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2022-AUG-10. PREDICTS-> 2022-NOV-02
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
Table format    : Comma Separated Values (spreadsheet)
*******************************************************************************
Date_________JDUT, , ,Azi_(a-app), Elev_(a-app),
************************************************
$$SOE
2459548.500000000,*,m, 223.126506,    21.631065,
2459548.500694444,*,m, 222.876580,    21.631157,
2459548.501388889,*,m, 222.626654,    21.631250,
2459548.502083333,*,m, 222.376728,    21.631343,
2459548.502777778,*,m, 222.126802,    21.631435,
2459548.503472222,*,m, 221.876877,    21.631528,
2459548.504166667,*,m, 221.626951,    21.631621,
2459548.504861111,*,m, 221.377025,    21.631715,
2459548.505555556,*,m, 221.127099,    21.631808,
2459548.506250000,*,m, 220.877173,    21.631901,
2459548.506944444,*,m, 220.627248,    21.631994,
2459548.507638889,*,m, 220.377322,    21.632088,
2459548.508333333,*,m, 220.127396,    21.632182,
2459548.509027778,*,m, 219.877471,    21.632275,
2459548.509722222,*,m, 219.627545,    21.632369,
2459548.510416667,*,m, 219.377620,    21.632463,
2459548.511111111,*,m, 219.127694,    21.632557,
2459548.511805556,*,m, 218.877769,    21.632651,
2459548.512500000,*,m, 218.627843,    21.632745,
2459548.513194445,*,m, 218.377918,    21.632840,
2459548.513888889,*,m, 218.127992,    21.632934,
2459548.514583333,*,m, 217.878067,    21.633028,
2459548.515277778,*,m, 217.628142,    21.633123,
2459548.515972222,*,m, 217.378216,    21.633218,
2459548.516666667,*,m, 217.128291,    21.633312,
2459548.517361111,*,m, 216.878366,    21.633407,
2459548.518055555,*,m, 216.628441,    21.633502,
2459548.518750000,*,m, 216.378516,    21.633597,
2459548.519444444,*,m, 216.128591,    21.633693,
2459548.520138889,*,m, 215.878665,    21.633788,
2459548.520833333,*,m, 215.628740,    21.633883,
2459548.521527778,*,m, 215.378815,    21.633979,
2459548.522222222,*,m, 215.128890,    21.634074,
2459548.522916667,*,m, 214.878965,    21.634170,
2459548.523611111,*,m, 214.629041,    21.634266,
2459548.524305556,*,m, 214.379116,    21.634362,
2459548.525000000,*,m, 214.129191,    21.634458,
2459548.525694444,*,m, 213.879266,    21.634554,
2459548.526388889,*,m, 213.629341,    21.634650,
2459548.527083333,*,m, 213.379416,    21.634746,
2459548.527777778,*,m, 213.129492,    21.634843,
2459548.528472222,*,m, 212.879567,    21.634939,
2459548.529166667,*,m, 212.629642,    21.635036,
2459548.529861111,*,m, 212.379718,    21.635133,
2459548.530555556,*,m, 212.129793,    21.635230,
2459548.531250000,*,m, 211.879869,    21.635326,
2459548.531944444,*,m, 211.629944,    21.635424,
2459548.532638889,*,m, 211.380019,    21.635521,
2459548.533333333,*,m, 211.130095,    21.635618,
2459548.534027778,*,m, 210.880171,    21.635715,
2459548.534722222,*,m, 210.630246,    21.635813,
2459548.535416667,*,m, 210.380322,    21.635910,
2459548.536111111,*,m, 210.130397,    21.636008,
2459548.536805556,*,m, 209.880473,    21.636106,
2459548.537500000,*,m, 209.630549,    21.636204,
2459548.538194444,*,m, 209.380624,    21.636302,
2459548.538888889,*,m, 209.130700,    21.636400,
2459548.539583333,*,m, 208.880776,    21.636498,
2459548.540277778,*,m, 208.630852,    21.636597,
2459548.540972222,*,m, 208.380927,    21.636695,
2459548.541666667,*,m, 208.131003,    21.636794,
2459548.542361111,*,m, 207.881079,    21.636892,
2459548.543055556,*,m, 207.631155,    21.636991,
