*******************************************************************************
 Revised: July 31, 2013             Moon / (Earth)                          301
 
 GEOPHYSICAL DATA (updated 2018-Aug-15):
  Vol. mean radius, km  = 1737.53+-0.03    Mass, x10^22 kg       =    7.349
  Radius (gravity), km  = 1738.0           Surface emissivity    =    0.92
  Radius (IAU), km      = 1737.4           GM, km^3/s^2          = 4902.800066
  Density, g/cm^3       =    3.3437        GM 1-sigma, km^3/s^2  =  +-0.0001  
  V(1,0)                =   +0.21          Surface accel., m/s^2 =    1.62
  Earth/Moon mass ratio = 81.3005690769    Farside crust. thick. = ~80 - 90 km
  Mean crustal density  = 2.97+-.07 g/cm^3 Nearside crust. thick.= 58+-8 km 
  Heat flow, Apollo 15  = 3.1+-.6 mW/m^2   Mean angular diameter = 31'05.2"
  Heat flow, Apollo 17  = 2.2+-.5 mW/m^2   Sid. rot. rate, rad/s = 0.0000026617
  Geometric Albedo      = 0.12             Mean solar day        = 29.5306 d
  Obliquity to orbit    = 6.67 deg         Orbit period          = 27.321582 d
  Semi-major axis, a    = 384400 km        Eccentricity          = 0.05490
  Mean motion, rad/s    = 2.6616995x10^-6  Inclination           = 5.145 deg
  Apsidal period        = 3231.50 d        Nodal period          = 6798.38 d
                                 Perihelion  Aphelion    Mean
  Solar Constant (W/m^2)         1414+-7     1323+-7     1368+-7
  Maximum Planetary IR (W/m^2)   1314        1226        1268
  Minimum Planetary IR (W/m^2)      5.2         5.2         5.2
********************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Sat May  7 13:11:48 2022 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Moon (301)                      {source: DE441}
Center body name: Earth (399)                     {source: DE441}
Center-site name: (user defined site below)
*******************************************************************************
Start time      : A.D. 2021-Dec-01 00:46:41.0000 UT      
Stop  time      : A.D. 2021-Dec-01 00:49:25.0000 UT      
Step-size       : 300 steps
*******************************************************************************
Target pole/equ : MOON_ME                         {East-longitude positive}
Target radii    : 1737.4 x 1737.4 x 1737.4 km     {Equator, meridian, pole}    
Center geodetic : 315.350000,-89.991100,2.8430000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 315.350000,0.99451803,-6359.595 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : ITRF93                          {East-longitude positive}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Target primary  : Earth
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE441}
Rel. light bend : Sun, EARTH                      {source: DE441}
Rel. lght bnd GM: 1.3271E+11, 3.9860E+05 km^3/s^2                              
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : JD  
RTS-only print  : NO       
EOP file        : eop.220506.p220729                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2022-MAY-06. PREDICTS-> 2022-JUL-28
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
Table format    : Comma Separated Values (spreadsheet)
*****************************************************************************************************
Date_________JDUT, , , R.A._(ICRF), DEC_(ICRF), R.A._(a-app), DEC_(a-app), Azi_(a-app), Elev_(a-app),
*****************************************************************************************************
$$SOE
2459549.532418982,*,m,   202.48816,   -4.87726,    202.76492,    -4.98750,  165.812519,     4.978869,
2459549.532425309,*,m,   202.48824,   -4.87730,    202.76500,    -4.98754,  165.810318,     4.978909,
2459549.532431636,*,m,   202.48833,   -4.87734,    202.76508,    -4.98758,  165.808116,     4.978948,
2459549.532437963,*,m,   202.48841,   -4.87738,    202.76517,    -4.98762,  165.805915,     4.978988,
2459549.532444290,*,m,   202.48849,   -4.87742,    202.76525,    -4.98766,  165.803714,     4.979027,
2459549.532450617,*,m,   202.48857,   -4.87746,    202.76533,    -4.98769,  165.801512,     4.979067,
2459549.532456944,*,m,   202.48866,   -4.87750,    202.76541,    -4.98773,  165.799311,     4.979106,
2459549.532463272,*,m,   202.48874,   -4.87754,    202.76550,    -4.98777,  165.797109,     4.979146,
2459549.532469599,*,m,   202.48882,   -4.87758,    202.76558,    -4.98781,  165.794908,     4.979185,
2459549.532475926,*,m,   202.48890,   -4.87762,    202.76566,    -4.98785,  165.792706,     4.979225,
2459549.532482253,*,m,   202.48899,   -4.87766,    202.76574,    -4.98789,  165.790505,     4.979265,
2459549.532488580,*,m,   202.48907,   -4.87770,    202.76583,    -4.98793,  165.788303,     4.979304,
2459549.532494907,*,m,   202.48915,   -4.87774,    202.76591,    -4.98797,  165.786102,     4.979344,
2459549.532501235,*,m,   202.48923,   -4.87778,    202.76599,    -4.98801,  165.783901,     4.979383,
2459549.532507562,*,m,   202.48932,   -4.87782,    202.76607,    -4.98805,  165.781699,     4.979423,
2459549.532513889,*,m,   202.48940,   -4.87785,    202.76616,    -4.98809,  165.779498,     4.979462,
2459549.532520216,*,m,   202.48948,   -4.87789,    202.76624,    -4.98813,  165.777296,     4.979502,
2459549.532526543,*,m,   202.48956,   -4.87793,    202.76632,    -4.98817,  165.775095,     4.979541,
2459549.532532870,*,m,   202.48965,   -4.87797,    202.76640,    -4.98821,  165.772893,     4.979581,
2459549.532539198,*,m,   202.48973,   -4.87801,    202.76649,    -4.98825,  165.770692,     4.979620,
2459549.532545525,*,m,   202.48981,   -4.87805,    202.76657,    -4.98829,  165.768491,     4.979660,
2459549.532551852,*,m,   202.48989,   -4.87809,    202.76665,    -4.98833,  165.766289,     4.979700,
2459549.532558179,*,m,   202.48998,   -4.87813,    202.76674,    -4.98837,  165.764088,     4.979739,
2459549.532564506,*,m,   202.49006,   -4.87817,    202.76682,    -4.98841,  165.761886,     4.979779,
2459549.532570833,*,m,   202.49014,   -4.87821,    202.76690,    -4.98844,  165.759685,     4.979818,
2459549.532577160,*,m,   202.49022,   -4.87825,    202.76698,    -4.98848,  165.757483,     4.979858,
2459549.532583488,*,m,   202.49031,   -4.87829,    202.76707,    -4.98852,  165.755282,     4.979897,
2459549.532589815,*,m,   202.49039,   -4.87833,    202.76715,    -4.98856,  165.753080,     4.979937,
2459549.532596142,*,m,   202.49047,   -4.87837,    202.76723,    -4.98860,  165.750879,     4.979976,
2459549.532602469,*,m,   202.49055,   -4.87841,    202.76731,    -4.98864,  165.748678,     4.980016,
2459549.532608796,*,m,   202.49064,   -4.87845,    202.76740,    -4.98868,  165.746476,     4.980056,
2459549.532615123,*,m,   202.49072,   -4.87849,    202.76748,    -4.98872,  165.744275,     4.980095,
