*******************************************************************************
 Revised: July 31, 2013             Moon / (Earth)                          301
 
 GEOPHYSICAL DATA (updated 2018-Aug-15):
  Vol. mean radius, km  = 1737.53+-0.03    Mass, x10^22 kg       =    7.349
  Radius (gravity), km  = 1738.0           Surface emissivity    =    0.92
  Radius (IAU), km      = 1737.4           GM, km^3/s^2          = 4902.800066
  Density, g/cm^3       =    3.3437        GM 1-sigma, km^3/s^2  =  +-0.0001  
  V(1,0)                =   +0.21          Surface accel., m/s^2 =    1.62
  Earth/Moon mass ratio = 81.3005690769    Farside crust. thick. = ~80 - 90 km
  Mean crustal density  = 2.97+-.07 g/cm^3 Nearside crust. thick.= 58+-8 km 
  Heat flow, Apollo 15  = 3.1+-.6 mW/m^2   Mean angular diameter = 31'05.2"
  Heat flow, Apollo 17  = 2.2+-.5 mW/m^2   Sid. rot. rate, rad/s = 0.0000026617
  Geometric Albedo      = 0.12             Mean solar day        = 29.5306 d
  Obliquity to orbit    = 6.67 deg         Orbit period          = 27.321582 d
  Semi-major axis, a    = 384400 km        Eccentricity          = 0.05490
  Mean motion, rad/s    = 2.6616995x10^-6  Inclination           = 5.145 deg
  Apsidal period        = 3231.50 d        Nodal period          = 6798.38 d
                                 Perihelion  Aphelion    Mean
  Solar Constant (W/m^2)         1414+-7     1323+-7     1368+-7
  Maximum Planetary IR (W/m^2)   1314        1226        1268
  Minimum Planetary IR (W/m^2)      5.2         5.2         5.2
********************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Wed May  4 13:16:51 2022 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Moon (301)                      {source: DE441}
Center body name: Earth (399)                     {source: DE441}
Center-site name: GEOCENTRIC
*******************************************************************************
Start time      : A.D. 2022-Jan-25 09:31:03.0000 UT      
Stop  time      : A.D. 2022-Jan-25 09:33:55.0000 UT      
Step-size       : 300 steps
*******************************************************************************
Target pole/equ : MOON_ME                         {East-longitude positive}
Target radii    : 1737.4 x 1737.4 x 1737.4 km     {Equator, meridian, pole}    
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : ITRF93                          {East-longitude positive}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Target primary  : Earth
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE441}
Rel. light bend : Sun, EARTH                      {source: DE441}
Rel. lght bnd GM: 1.3271E+11, 3.9860E+05 km^3/s^2                              
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : JD  
EOP file        : eop.220502.p220726                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2022-MAY-02. PREDICTS-> 2022-JUL-25
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
Table format    : Comma Separated Values (spreadsheet)
*******************************************************************************
Date_________JDUT, , ,R.A._(a-app), DEC_(a-app),
************************************************
$$SOE
2459604.896562500, , ,   211.72654,   -10.46956,
2459604.896569136, , ,   211.72663,   -10.46959,
2459604.896575772, , ,   211.72671,   -10.46963,
2459604.896582407, , ,   211.72680,   -10.46967,
2459604.896589043, , ,   211.72688,   -10.46971,
2459604.896595679, , ,   211.72697,   -10.46974,
2459604.896602315, , ,   211.72705,   -10.46978,
2459604.896608951, , ,   211.72714,   -10.46982,
2459604.896615586, , ,   211.72722,   -10.46986,
2459604.896622222, , ,   211.72730,   -10.46989,
2459604.896628858, , ,   211.72739,   -10.46993,
2459604.896635494, , ,   211.72747,   -10.46997,
2459604.896642130, , ,   211.72756,   -10.47001,
2459604.896648766, , ,   211.72764,   -10.47004,
2459604.896655401, , ,   211.72773,   -10.47008,
2459604.896662037, , ,   211.72781,   -10.47012,
2459604.896668673, , ,   211.72790,   -10.47016,
2459604.896675309, , ,   211.72798,   -10.47019,
2459604.896681944, , ,   211.72806,   -10.47023,
2459604.896688580, , ,   211.72815,   -10.47027,
2459604.896695216, , ,   211.72823,   -10.47031,
2459604.896701852, , ,   211.72832,   -10.47035,
2459604.896708488, , ,   211.72840,   -10.47038,
2459604.896715124, , ,   211.72849,   -10.47042,
2459604.896721759, , ,   211.72857,   -10.47046,
2459604.896728395, , ,   211.72866,   -10.47050,
2459604.896735031, , ,   211.72874,   -10.47053,
2459604.896741667, , ,   211.72882,   -10.47057,
2459604.896748303, , ,   211.72891,   -10.47061,
2459604.896754938, , ,   211.72899,   -10.47065,
2459604.896761574, , ,   211.72908,   -10.47068,
2459604.896768210, , ,   211.72916,   -10.47072,
2459604.896774846, , ,   211.72925,   -10.47076,
2459604.896781481, , ,   211.72933,   -10.47080,
2459604.896788117, , ,   211.72942,   -10.47083,
2459604.896794753, , ,   211.72950,   -10.47087,
2459604.896801389, , ,   211.72958,   -10.47091,
2459604.896808024, , ,   211.72967,   -10.47095,
2459604.896814661, , ,   211.72975,   -10.47098,
2459604.896821296, , ,   211.72984,   -10.47102,
2459604.896827932, , ,   211.72992,   -10.47106,
2459604.896834568, , ,   211.73001,   -10.47110,
2459604.896841204, , ,   211.73009,   -10.47113,
2459604.896847839, , ,   211.73018,   -10.47117,
2459604.896854475, , ,   211.73026,   -10.47121,
2459604.896861111, , ,   211.73034,   -10.47125,
2459604.896867747, , ,   211.73043,   -10.47129,
2459604.896874383, , ,   211.73051,   -10.47132,
2459604.896881019, , ,   211.73060,   -10.47136,
2459604.896887654, , ,   211.73068,   -10.47140,
2459604.896894290, , ,   211.73077,   -10.47144,
2459604.896900926, , ,   211.73085,   -10.47147,
2459604.896907562, , ,   211.73094,   -10.47151,
2459604.896914198, , ,   211.73102,   -10.47155,
2459604.896920833, , ,   211.73111,   -10.47159,
2459604.896927469, , ,   211.73119,   -10.47162,
2459604.896934105, , ,   211.73127,   -10.47166,
2459604.896940741, , ,   211.73136,   -10.47170,
2459604.896947376, , ,   211.73144,   -10.47174,
2459604.896954013, , ,   211.73153,   -10.47177,
2459604.896960648, , ,   211.73161,   -10.47181,
2459604.896967284, , ,   211.73170,   -10.47185,
2459604.896973920, , ,   211.73178,   -10.47189,
2459604.896980556, , ,   211.73187,   -10.47192,
2459604.896987191, , ,   211.73195,   -10.47196,
