*******************************************************************************
 Revised: July 31, 2013                  Sun                                 10

 PHYSICAL PROPERTIES (updated 2018-Aug-15):
  GM, km^3/s^2          = 132712440041.93938  Mass, 10^24 kg        = ~1988500
  Vol. mean radius, km  = 695700              Volume, 10^12 km^3    = 1412000
  Solar radius (IAU)    = 696000 km           Mean density, g/cm^3  = 1.408
  Radius (photosphere)  = 696500 km           Angular diam at 1 AU  = 1919.3"
  Photosphere temp., K  = 6600 (bottom)       Photosphere temp., K  = 4400(top)
  Photospheric depth    = ~500 km             Chromospheric depth   = ~2500 km
  Flatness, f           = 0.00005             Adopted sid. rot. per.= 25.38 d
  Surface gravity       =  274.0 m/s^2        Escape speed, km/s    =  617.7
  Pole (RA,DEC), deg.   = (286.13, 63.87)     Obliquity to ecliptic = 7.25 deg.
  Solar constant (1 AU) = 1367.6 W/m^2        Luminosity, 10^24 J/s = 382.8
  Mass-energy conv rate = 4.260 x 10^9 kg/s   Effective temp, K     = 5772
  Sunspot cycle         = 11.4 yr             Cycle 24 sunspot min. = 2008 A.D.

  Motion relative to nearby stars = apex : R.A.= 271 deg.; DEC.= +30 deg.
                                    speed: 19.4 km/s (0.0112 au/day)
  Motion relative to 2.73K BB/CBR = apex : l= 264.7 +- 0.8; b= 48.2 +- 0.5 deg.
                                    speed: 369 +-11 km/s
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Sat May  7 13:39:54 2022 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Sun (10)                        {source: DE441}
Center body name: Earth (399)                     {source: DE441}
Center-site name: GEOCENTRIC
*******************************************************************************
Start time      : A.D. 2021-Nov-30 00:00:00.0000 UT      
Stop  time      : A.D. 2022-Jan-27 00:00:00.0000 UT      
Step-size       : 1 minutes
*******************************************************************************
Target pole/equ : IAU_SUN                         {East-longitude positive}
Target radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}    
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : ITRF93                          {East-longitude positive}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Target primary  : Sun
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE441}
Rel. light bend : Sun, EARTH                      {source: DE441}
Rel. lght bnd GM: 1.3271E+11, 3.9860E+05 km^3/s^2                              
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : JD  
EOP file        : eop.220506.p220729                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2022-MAY-06. PREDICTS-> 2022-JUL-28
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
Table format    : Comma Separated Values (spreadsheet)
*******************************************************************************
Date_________JDUT, , ,R.A._(a-app), DEC_(a-app),
************************************************
$$SOE
2459548.500000000, , ,   246.21693,   -21.63834,
2459548.500694444, , ,   246.21768,   -21.63846,
2459548.501388889, , ,   246.21843,   -21.63857,
2459548.502083333, , ,   246.21918,   -21.63868,
2459548.502777778, , ,   246.21992,   -21.63879,
2459548.503472222, , ,   246.22067,   -21.63891,
2459548.504166667, , ,   246.22142,   -21.63902,
2459548.504861111, , ,   246.22217,   -21.63913,
2459548.505555556, , ,   246.22291,   -21.63925,
2459548.506250000, , ,   246.22366,   -21.63936,
2459548.506944444, , ,   246.22441,   -21.63947,
2459548.507638889, , ,   246.22515,   -21.63958,
2459548.508333333, , ,   246.22590,   -21.63970,
2459548.509027778, , ,   246.22665,   -21.63981,
2459548.509722222, , ,   246.22740,   -21.63992,
2459548.510416667, , ,   246.22814,   -21.64004,
2459548.511111111, , ,   246.22889,   -21.64015,
2459548.511805556, , ,   246.22964,   -21.64026,
2459548.512500000, , ,   246.23038,   -21.64037,
2459548.513194445, , ,   246.23113,   -21.64049,
2459548.513888889, , ,   246.23188,   -21.64060,
2459548.514583333, , ,   246.23263,   -21.64071,
2459548.515277778, , ,   246.23337,   -21.64083,
2459548.515972222, , ,   246.23412,   -21.64094,
2459548.516666667, , ,   246.23487,   -21.64105,
2459548.517361111, , ,   246.23562,   -21.64116,
2459548.518055555, , ,   246.23636,   -21.64128,
2459548.518750000, , ,   246.23711,   -21.64139,
2459548.519444444, , ,   246.23786,   -21.64150,
2459548.520138889, , ,   246.23860,   -21.64162,
2459548.520833333, , ,   246.23935,   -21.64173,
2459548.521527778, , ,   246.24010,   -21.64184,
2459548.522222222, , ,   246.24085,   -21.64195,
2459548.522916667, , ,   246.24159,   -21.64207,
2459548.523611111, , ,   246.24234,   -21.64218,
2459548.524305556, , ,   246.24309,   -21.64229,
2459548.525000000, , ,   246.24383,   -21.64240,
2459548.525694444, , ,   246.24458,   -21.64252,
2459548.526388889, , ,   246.24533,   -21.64263,
2459548.527083333, , ,   246.24608,   -21.64274,
2459548.527777778, , ,   246.24682,   -21.64286,
2459548.528472222, , ,   246.24757,   -21.64297,
2459548.529166667, , ,   246.24832,   -21.64308,
2459548.529861111, , ,   246.24907,   -21.64319,
2459548.530555556, , ,   246.24981,   -21.64331,
2459548.531250000, , ,   246.25056,   -21.64342,
2459548.531944444, , ,   246.25131,   -21.64353,
2459548.532638889, , ,   246.25205,   -21.64365,
2459548.533333333, , ,   246.25280,   -21.64376,
2459548.534027778, , ,   246.25355,   -21.64387,
2459548.534722222, , ,   246.25430,   -21.64398,
2459548.535416667, , ,   246.25504,   -21.64410,
2459548.536111111, , ,   246.25579,   -21.64421,
2459548.536805556, , ,   246.25654,   -21.64432,
2459548.537500000, , ,   246.25729,   -21.64443,
2459548.538194444, , ,   246.25803,   -21.64455,
2459548.538888889, , ,   246.25878,   -21.64466,
2459548.539583333, , ,   246.25953,   -21.64477,
2459548.540277778, , ,   246.26027,   -21.64488,
2459548.540972222, , ,   246.26102,   -21.64500,
2459548.541666667, , ,   246.26177,   -21.64511,
2459548.542361111, , ,   246.26252,   -21.64522,
2459548.543055556, , ,   246.26326,   -21.64534,
