,Time,Angle,X,Y,Tilt,Temp,ISTilt,ISTiltTemp,ISTemp
0,1689355117.5177581,-180.0,0.3894340013477328,-0.012101546108043395,3.0800203186383137,0.3097012529928078,0.4448088784562161,0.2455168960728871,7.508494124724368e-06
1,1689355118.5374799,-180.0,0.389255008757017,-0.011936763035742438,3.0800218956655447,0.30970262432083473,0.44484117323125044,0.24551933018013491,-2.2796989892665602e-05
4,1689355135.7894871,-150.0,0.3199617692727467,-0.012748337663727701,3.075831631463239,0.3096615873296287,0.44483976762002286,0.24551768458650258,-8.741721650393528e-05
5,1689355136.8034132,-150.0,0.3199132585437938,-0.013178343667252394,3.0757955998193314,0.30975487191866097,0.44483911623921,0.24552186713698473,3.380259484073475e-05
8,1689355154.0506775,-120.0,0.13060927527825092,-0.012860981136908676,3.0701931762980874,0.309714143476261,0.44488536427691844,0.24553126073396925,-0.00010963056730714824
9,1689355155.0642328,-120.0,0.1310304443985236,-0.012257827786142015,3.0702012328502457,0.3097894636681404,0.44490031175241207,0.24552128432257328,-2.6728289602336495e-06
12,1689355172.3181193,-90.0,0.009673947858017427,-0.013099088734204796,3.0648491109771183,0.30978624104727714,0.4449171448039427,0.24554377410221503,2.675348228977883e-06
13,1689355173.3319066,-90.0,0.009265017840385149,-0.013548462833392073,3.06481407354603,0.3096839742596684,0.44491423073188546,0.24552659821867767,-8.721163240150215e-05
16,1689355190.578961,-60.0,0.07596092775843823,-0.013260786623125872,3.0610659940660097,0.30967595199071085,0.4449364462459218,0.24553887160451873,-5.5706385315564454e-05
17,1689355191.592246,-60.0,0.07618760828129073,-0.013557992622054371,3.061036030548621,0.30978843517212024,0.4449417258588255,0.24554274560619482,3.1211212419495696e-06
20,1689355208.842971,-30.0,0.26705576257755737,-0.011713258639777754,3.059945447652,0.30971842887634515,0.4449178990343575,0.24554655104146958,-5.2826221955607856e-05
21,1689355209.8565168,-30.0,0.2666736420228517,-0.012713715050242373,3.0599127414785574,0.3098034512140152,0.44491961319439116,0.24554514543024197,-1.31634782102689e-05
24,1689355227.100453,0.0,0.3864574310156665,-0.01223739701620414,3.0617874840241814,0.3097154119546859,0.44490079171722147,0.24553966011813422,-2.7423710005475892e-05
25,1689355228.1149833,0.0,0.38678181866043815,-0.011941287971366264,3.061763897182118,0.3096631986400603,0.4449074769413528,0.2455492594143228,-0.00012574289172562203
28,1689355245.367405,30.0,0.31981195168580395,-0.012126021896190449,3.0660134027551873,0.3097521635458078,0.444991642199006,0.2455552932576413,-1.000922401317439e-05
29,1689355246.3832405,30.0,0.3195705293866619,-0.012267117616096989,3.0660053804862297,0.30969443063587376,0.4450011729287932,0.24556310982739482,-4.741067931490761e-05
32,1689355263.6316724,60.0,0.1301695589464139,-0.013061552336416248,3.071596661967255,0.3096088254837923,0.44507402473022417,0.24557003503393085,-7.096170673371994e-05
33,1689355264.6454878,60.0,0.13004435669755468,-0.012911715263600045,3.071579211818112,0.3097442098432516,0.44507930434312787,0.245567395227479,2.09125506355829e-05
36,1689355281.8900788,90.0,0.009561190411002625,-0.013488644555637721,3.0769703822568064,0.30971352637864885,0.4451445452740093,0.24557013788353288,-3.657743503203569e-05
37,1689355282.9040883,90.0,0.009559099135761548,-0.012811823881722577,3.076979467304985,0.3096376576555586,0.44514193975075816,0.24555755594888573,-1.2237966359407437e-05
40,1689355300.14974,120.0,0.0776817387330387,-0.013175292763687847,3.0806689225118538,0.3096259328009283,0.4452031695471608,0.24556578391704736,-1.1306921755426124e-06
41,1689355301.164655,120.0,0.07734195793116466,-0.012967385683699225,3.080674476390363,0.3096430058348637,0.4451949072957986,0.24557264055718203,-6.273396665948085e-05
44,1689355318.4104269,150.0,0.26776689900912565,-0.012589587838925177,3.0814080683183724,0.3096650499328967,0.4452529830377393,0.2455781258692898,-9.149606597070993e-05
45,1689355319.425418,150.0,0.26792569879464484,-0.012458776063618239,3.0814278840083613,0.30972178863001115,0.44525339443614737,0.24557606887724936,-3.476010802059035e-05
48,1689355336.683151,180.0,0.38887885347922846,-0.01223691709878949,3.0793732917920047,0.3096320009274475,0.4452648107419716,0.24558511964222715,-5.656267697102319e-05
49,1689355337.6996846,180.0,0.38884710723540494,-0.012583931669395396,3.07936897210872,0.3096727293698475,0.4452689590092531,0.24558549675743457,-4.237020713541521e-05
