,Time,Angle,X,Y,Tilt,Temp,ISTilt,ISTiltTemp,ISTemp
0,1689359152.2082872,-180.0,0.4033617230373036,-0.01141718387475521,3.078104744800688,0.31017274985166904,0.4326869900789158,0.2460016948136096,-5.944348354584387e-05
1,1689359153.2242262,-180.0,0.40352539103731844,-0.011495821771126834,3.078126411783513,0.3101810121030313,0.4327031031832323,0.2460001520695793,-7.12019874716437e-05
2,1689359161.347981,-165.0,0.39301954417336066,-0.011817366438941058,3.0762356589831747,0.3102851301834764,0.43271307959462824,0.24600844860414225,-1.7860207726193443e-05
3,1689359162.3678925,-165.0,0.39287925731620515,-0.012040253798229768,3.076301894126876,0.31025376105486024,0.43270149187280066,0.24599734084712407,-8.614781049547876e-05
6,1689359179.633069,-135.0,0.2378811359197041,-0.01313384846695145,3.071134250156572,0.31027011414158145,0.4327237416700377,0.24599668946631129,-6.434498172009423e-05
7,1689359180.6516373,-135.0,0.23761602392889675,-0.012133803414270814,3.0711422038591283,0.31025866355255655,0.432727169990105,0.24598705588692205,-6.911063521404988e-05
10,1689359197.9090335,-105.0,0.05349898607563672,-0.012329301201109248,3.065473785176588,0.31028920988435654,0.4327207247483784,0.24598448464687156,-2.636182747690125e-05
11,1689359198.9268804,-105.0,0.05299865704500917,-0.013367979605669057,3.0654505754497325,0.31028173614660975,0.43272326170522823,0.24598270192043653,-8.371445013861173e-05
14,1689359216.179287,-75.0,0.01883894446043794,-0.013289204590036106,3.060730704363424,0.3102398763585875,0.432730529743771,0.24598421038126617,-0.00012186962382227446
15,1689359217.1932633,-75.0,0.018207002222425217,-0.01333572229944164,3.0607397208452007,0.3103329552484158,0.43273539795826665,0.24599209551742104,-9.769348669882069e-06
18,1689359234.4554026,-45.0,0.17390288960223188,-0.011403746187145063,3.058255628690808,0.31027453667446836,0.43274259743040805,0.24598218767242644,-5.1969382298011624e-05
19,1689359235.4703655,-45.0,0.17480220652229642,-0.012678166881743082,3.058248292085864,0.31026819428234376,0.43274026617276223,0.24598342186765068,-0.00010428358006543526
22,1689359252.7152529,-15.0,0.36090393314574004,-0.012556713496021783,3.0586672327980926,0.3102814275978037,0.43276207028839053,0.2459873644357281,-7.531565967787578e-05
23,1689359253.7329314,-15.0,0.3609386963112229,-0.012059519054446355,3.0586777577406994,0.3102686056807518,0.43275895051712926,0.24597649666111465,-9.070740509287134e-05
26,1689359270.9873078,15.0,0.39246528766807387,-0.010597827728689582,3.061866678217737,0.3102629489526407,0.43277249238139526,0.24598801581654092,-8.666230436599815e-05
27,1689359272.001453,15.0,0.3929146032960994,-0.01049941037887139,3.061853753451083,0.31035609640887035,0.43278188597837974,0.24597337688985338,-9.900339207686354e-05
30,1689359289.2482002,45.0,0.23717788462429074,-0.012447429444743344,3.067057909030104,0.3101936283208791,0.432779760419938,0.24598013068038604,-0.00011974414874455558
31,1689359290.2612827,45.0,0.2367321687323359,-0.01165631986651129,3.067073850718417,0.31024549880349794,0.43280122170355956,0.24596802871054832,-1.3060284572929959e-05
34,1689359307.5120518,75.0,0.05145653011231843,-0.012563912257241504,3.072802196435734,0.31027275394803333,0.4328271740864693,0.24596422327527356,-2.9720428010983192e-05
35,1689359308.5313945,75.0,0.05203509340688268,-0.012799106070234403,3.0728019564533295,0.3102659658743,0.4328386246754942,0.24595914936157393,-7.93257887102704e-05
38,1689359325.7772079,105.0,0.020589890368430334,-0.013450559680803862,3.077595536421086,0.3102555094980946,0.43284441853640804,0.24596470324008302,-0.00011120796819518041
39,1689359326.7909153,105.0,0.02048248110072058,-0.014699921830394183,3.0776094211173586,0.31033511509005823,0.43284568701483295,0.24595746948474093,9.496544837222447e-06
42,1689359344.044829,135.0,0.17540421952612129,-0.013009069939142946,3.080134310280553,0.3102649030950791,0.4328474354580673,0.2459639147264675,-2.786974115072856e-05
43,1689359345.0614874,135.0,0.17591572488016835,-0.012036174500205258,3.0801364358389947,0.3102638745990589,0.432849458166907,0.24595404116467356,-0.00012320654296773783
46,1689359362.3109097,165.0,0.36183437921201606,-0.012665860428038892,3.07940613509825,0.3103693982907316,0.4328461669796424,0.24595030429580017,-3.35262039357076e-05
47,1689359363.3250701,165.0,0.36155503969292924,-0.01255479382636319,3.0794161457928464,0.3102628461030387,0.43284887535249555,0.24596089780480826,-0.0001117218222361771
48,1689359371.4456792,180.0,0.4024225347548559,-0.01260110585687673,3.078090962954017,0.31039089385755386,0.432840647384334,0.24596120635361432,-6.239055872154293e-05
49,1689359372.4600759,180.0,0.4022227322613314,-0.013176115479255814,3.0780803008786077,0.3103100197871653,0.43282014603033125,0.24595990359198872,-1.62831771098758e-05
