,Time,Angle,X,Y,Tilt,Temp,ISTilt,ISTiltTemp,ISTemp
0,1689362472.8891592,-180.0,0.39360050729197205,-0.012027947344525577,3.078768124733718,0.3099608111051061,0.44230407924861637,0.24615007250612406,-5.227777114669152e-05
1,1689362473.9059718,-180.0,0.3933563766199768,-0.012125679098037127,3.078776284135478,0.30993276744695525,0.4423074047190817,0.24615329512698736,-7.788648333138958e-05
2,1689362482.0218554,-165.0,0.3815855139343714,-0.011888257097047649,3.0769145006397087,0.3099366414486313,0.44231107302155376,0.246146404203652,-4.2302506111961215e-05
3,1689362483.0360212,-165.0,0.38165456030052763,-0.011696324411003742,3.076927391123162,0.31005491849095457,0.44231107302155376,0.2461415359891564,-7.696049372422446e-05
6,1689362500.2803597,-135.0,0.2323045962149687,-0.012244835736131185,3.071880732568035,0.310062529361504,0.44230023953014097,0.2461411245907483,1.011410285577262e-05
7,1689362501.2945118,-135.0,0.23244440310731485,-0.012731849072553005,3.0718677392349796,0.3100290003912455,0.4422969483428763,0.24614966110771597,-7.833243153577819e-05
10,1689362518.5439103,-105.0,0.05152951904655209,-0.013341309909340756,3.066290548149431,0.31011775959778887,0.4423282831882918,0.2461508953029402,-1.1482499871817708e-05
11,1689362519.5579994,-105.0,0.051416384484329884,-0.01347136752871039,3.0662764577539545,0.31001768693502324,0.44233236288917194,0.24614283875078197,-8.004656744889062e-05
14,1689362536.8052182,-75.0,0.0192353953930251,-0.013234014087351574,3.0615612491829376,0.31005392427813505,0.4422853949042494,0.24613505646422912,-7.524672342798213e-05
15,1689362537.8190355,-75.0,0.01893785149438069,-0.01300368800813582,3.0615697514167044,0.3100718886752879,0.4422975997236891,0.24614753554927424,-3.201778161433645e-05
18,1689362555.0690517,-45.0,0.16860863777184124,-0.012772162135383446,3.059068997626784,0.31005697548299493,0.4422679447551066,0.24614078175874157,3.085369792820024e-05
19,1689362556.0836258,-45.0,0.16874031954562774,-0.013021513512108463,3.059094812876891,0.3099749700669842,0.44226924751673224,0.2461398561123234,-1.696877257018059e-05
22,1689362573.338171,-15.0,0.3509250533593331,-0.011925896334282192,3.0594903038798598,0.3100245435751579,0.44227888109612146,0.24614273590117997,-0.00010620275842635844
23,1689362574.352185,-15.0,0.3514543859777304,-0.011778973045769211,3.059504120009731,0.31004370788433433,0.4422927315091935,0.2461434558483941,-2.4783961950763318e-05
26,1689362591.600198,15.0,0.3816372472841876,-0.01167647639792651,3.062706925183041,0.3100088075860488,0.4423026736373888,0.2461501753557261,-9.955247552145213e-05
27,1689362592.613811,15.0,0.3814128980189808,-0.011753537422792861,3.0626954745940163,0.3100944127381303,0.44230881033030933,0.24615871187269375,-2.8898371315083044e-05
30,1689362609.8598614,45.0,0.23100039469495137,-0.011993907487900893,3.067879368801439,0.31006530630075857,0.44236304635377466,0.24616155737834966,-0.00010760841450974112
31,1689362610.8741796,45.0,0.23142074101840787,-0.012217480443496243,3.067896304702572,0.3100705859136623,0.44236006371531605,0.2461478098148796,-3.589115107792572e-05
34,1689362628.1264045,75.0,0.05066088559109024,-0.012670282524216722,3.073618170894962,0.31006201511349396,0.44238625608063054,0.24616059744873078,-2.9858306858285585e-05
35,1689362629.141551,75.0,0.05091759819773264,-0.01260926445292575,3.073641654887423,0.3100338686057411,0.4424015121049302,0.2461549407206197,-6.032258902956124e-06
38,1689362646.391858,105.0,0.019521180153838538,-0.01335008554206575,3.078414356385969,0.31003685124419966,0.44242887009906756,0.24617170520574896,-8.340584928292729e-05
39,1689362647.4057424,105.0,0.01920004941313083,-0.013275012746488655,3.078391935172729,0.3100092532676576,0.44244035497129314,0.2461438329636015,-1.9196995266510283e-05
42,1689362664.6641588,135.0,0.17089189893668946,-0.012402488606843084,3.0808933746266627,0.3099617367515243,0.4424632904325436,0.24617002532891596,-7.915545390030982e-05
43,1689362665.6786404,135.0,0.17062558703385852,-0.0129258042677015,3.0808994770363825,0.31007723685459293,0.44244796584184265,0.24617667626984663,1.0114364796562666e-05
46,1689362682.934038,165.0,0.3525562137641727,-0.011875779244266797,3.0801775071134014,0.30999128887050476,0.44246469604377126,0.24616714554005942,-1.532264828559467e-05
47,1689362683.9527936,165.0,0.35248209348431675,-0.012122936712810568,3.080211241782864,0.3100832364147108,0.4424648331765739,0.2461679340536749,-5.316956430255636e-05
48,1689362692.07006,180.0,0.393404853065729,-0.011734752083990921,3.0788609979243424,0.31010939449682456,0.44246942712546417,0.24617095097533415,1.861577254026593e-05
49,1689362693.0839584,180.0,0.39344023332882394,-0.011552760544393297,3.078877625276669,0.3100138129333472,0.44245297118914095,0.2461687225672904,-0.0001108649546495144
